iter	Passed	Remaining
745	2590	882
746	2594	878
747	2596	874
748	2601	871
749	2604	868
750	2610	865
751	2612	861
752	2621	860
753	2626	856
754	2628	852
755	2631	849
756	2634	845
757	2636	841
758	2640	838
759	2643	834
760	2646	831
761	2649	827
762	2653	824
763	2655	820
764	2658	816
765	2662	813
766	2665	809
767	2671	806
768	2677	804
769	2679	800
770	2682	796
771	2683	792
772	2686	788
773	2687	784
774	2690	781
775	2692	777
776	2694	773
777	2696	769
778	2698	765
779	2700	761
780	2702	757
781	2704	753
782	2706	750
783	2708	746
784	2710	742
785	2713	738
786	2715	734
787	2717	731
788	2719	727
789	2722	723
790	2724	719
791	2725	715
792	2730	712
793	2733	709
794	2736	705
795	2741	702
796	2744	698
797	2746	695
798	2749	691
799	2751	687
800	2753	684
801	2756	680
802	2758	676
803	2761	673
804	2764	669
805	2766	665
806	2769	662
807	2771	658
808	2773	654
809	2777	651
810	2779	647
811	2781	644
812	2784	640
813	2786	636
814	2789	633
815	2791	629
816	2794	625
817	2797	622
818	2799	618
819	2801	615
820	2804	611
821	2806	607
822	2809	604
823	2811	600
824	2813	596
825	2815	593
826	2819	589
827	2822	586
828	2825	582
829	2828	579
830	2831	575
831	2834	572
832	2836	568
833	2839	565
834	2842	561
835	2845	558
836	2849	554
837	2853	551
838	2857	548
839	2860	544
840	2863	541
841	2869	538
842	2874	535
843	2882	532
844	2890	530
845	2895	527
846	2903	524
847	2936	526
848	2939	522
849	2943	519
850	2946	515
851	2949	512
852	2951	508
853	2953	504
854	2957	501
855	2959	497
856	2961	494
857	2963	490
858	2966	486
859	2968	483
860	2970	479
861	2972	475
862	2974	472
863	2977	468
864	2979	464
865	2981	461
866	2983	457
867	2985	454
868	2987	450
869	2989	446
870	2991	443
871	2993	439
872	2995	435
873	2997	432
874	2999	428
875	3001	424
876	3003	421
877	3005	417
878	3007	414
879	3009	410
880	3011	406
881	3013	403
882	3015	399
883	3017	396
884	3019	392
885	3021	388
886	3023	385
887	3025	381
888	3027	377
889	3029	374
890	3031	370
891	3033	367
892	3035	363
893	3037	360
894	3039	356
895	3041	353
896	3043	349
897	3045	345
898	3047	342
899	3049	338
900	3052	335
901	3054	331
902	3056	328
903	3058	324
904	3060	321
905	3062	317
906	3064	314
907	3066	310
908	3068	307
909	3070	303
910	3072	300
911	3075	296
912	3076	293
913	3078	289
914	3080	286
915	3082	282
916	3084	279
917	3086	275
918	3088	272
919	3090	268
920	3092	265
921	3094	261
922	3096	258
923	3098	254
924	3099	251
925	3101	247
926	3103	244
927	3105	240
928	3107	237
929	3109	234
930	3111	230
931	3113	227
932	3115	223
933	3117	220
934	3119	216
935	3121	213
936	3123	209
937	3124	206
938	3126	203
939	3129	199
940	3130	196
941	3132	192
942	3134	189
943	3136	186
944	3138	182
945	3140	179
946	3142	175
947	3144	172
948	3145	169
949	3147	165
950	3149	162
951	3152	158
952	3153	155
953	3156	152
954	3158	148
955	3160	145
956	3162	142
957	3164	138
958	3167	135
959	3169	132
960	3171	128
961	3173	125
962	3175	121
963	3176	118
964	3178	115
965	3180	111
966	3182	108
967	3184	105
968	3186	101
969	3189	98
970	3191	95
971	3193	91
972	3195	88
973	3198	85
974	3200	82
975	3202	78
976	3205	75
977	3207	72
978	3208	68
979	3211	65
980	3214	62
981	3216	58
982	3218	55
983	3221	52
984	3223	49
985	3225	45
986	3228	42
987	3230	39
988	3232	35
989	3235	32
990	3237	29
991	3239	26
992	3241	22
993	3243	19
994	3245	16
995	3248	13
996	3250	9
997	3252	6
998	3254	3
999	3257	0
